subj,n_test,nll_actr,nll_fear,n_params_actr,n_params_fear,aic_actr,aic_fear,bic_actr,bic_fear,delta_aic,delta_bic,converged_actr,converged_fear,actr_c,actr_phi,actr_t0,actr_F,actr_tau,actr_s,fear_d,fear_w1,fear_t0,fear_F,fear_tau,fear_s
1501,125,259.8349216141331,258.04592387376107,3,3,525.6698432282662,522.0918477475221,534.1547844401731,530.576788959429,-3.5779954807441072,-3.5779954807441072,True,True,0.8717735268150343,0.11839059081324957,0.3,1.119533423407135,-0.8,0.25,0.21229165421302684,1.335235154012824,0.3,1.147329227693685,-0.8,0.25
1502,156,229.8622315804152,223.53491833026808,3,3,465.7244631608304,453.06983666053617,474.874031182579,462.2194046822848,-12.654626500294228,-12.654626500294228,True,True,0.5186036709463311,0.13534671851581098,0.3,0.7525896402508224,-0.8,0.25,0.1707447403437992,1.0173351035883422,0.3,0.6983681441843349,-0.8,0.25
1503,173,2000242.8218488665,2000236.211500819,3,3,4000491.643697733,4000478.423001638,4000501.1035725167,4000487.882876422,-13.220696094911546,-13.220696094911546,True,True,0.2457017288712354,0.18961520806399276,0.3,1.0536969989693579,-0.8,0.25,0.10996663861180707,0.9868422641148517,0.3,0.9401983819726386,-0.8,0.25
1504,102,243.0842682719364,242.0337326387355,3,3,492.1685365438728,490.067465277471,500.0434549837256,497.9423837173238,-2.1010712664017888,-2.1010712664017888,True,True,0.5690899787137055,0.27019975633740956,0.3,1.0391405560243852,-0.8,0.25,0.3396475038112154,1.120609518045646,0.3,1.0893965879218823,-0.8,0.25
1505,64,90.32015227540771,85.00644999432436,3,3,186.64030455081542,176.0128999886487,193.11695380089444,182.48954923872773,-10.627404562166703,-10.627404562166703,True,True,0.392647620918215,0.10000056524412594,0.3,1.2241563614306523,-0.8,0.25,0.12837762718102086,1.7176829941043716,0.3,1.4999995305152267,-0.8,0.25
1509,86,182.9611260642832,181.67289785621455,3,3,371.9222521285664,369.3457957124291,379.2852940173269,376.7088376011896,-2.5764564161373187,-2.5764564161373187,True,True,0.9056798674886005,0.11560465902445102,0.3,1.0430067921646888,-0.8,0.25,0.20331977214248315,1.3374127948880823,0.3,1.084553130653635,-0.8,0.25
1512,120,232.38976198687635,233.90874353438966,3,3,470.7795239737527,473.8174870687793,479.1419992020988,482.1799622971254,3.037963095026612,3.037963095026612,True,True,0.33386607502223287,0.3264158047128761,0.3,0.757687434887573,-0.8,0.25,0.32997508607738113,0.8362605012563652,0.3,0.7830770982297147,-0.8,0.25
1517,75,201.6699212109284,193.98831995538902,3,3,409.3398424218568,393.97663991077803,416.2923067624657,400.92910425138695,-15.363202511078782,-15.363202511078782,True,True,0.8599432761634263,0.14425572860285485,0.3,1.4999994442420579,-0.8,0.25,0.342986107217446,2.436867509213824,0.3,1.4999994185813712,-0.8,0.25
1518,74,113.17435353035822,104.99600432312953,3,3,232.34870706071644,215.99200864625905,239.26090234032895,222.90420392587157,-16.356698414457384,-16.356698414457384,True,True,0.43701346077342684,0.10000056529063331,0.3,1.1248116056840038,-0.8,0.25,0.13968910299767204,1.9500099116415575,0.3,1.4999999999997147,-0.8,0.25
1521,112,242.70580767639262,245.08604968039702,3,3,491.41161535278525,496.17209936079405,499.56711196667055,504.32759597467935,4.7604840080088024,4.7604840080088024,True,True,0.9999999999999998,0.13182484728985194,0.3,0.812660927416116,-0.8,0.25,0.21488675000555202,0.9864032604738102,0.3,0.8111454086939937,-0.8,0.25
