subj,n_test,nll_actr,nll_fear,n_params_actr,n_params_fear,aic_actr,aic_fear,bic_actr,bic_fear,delta_aic,delta_bic,converged_actr,converged_fear,actr_c,actr_phi,actr_t0,actr_F,actr_tau,actr_s,fear_d,fear_w1,fear_t0,fear_F,fear_tau,fear_s
1501,125,256.3492327170144,253.67723493801557,4,4,520.6984654340288,515.3544698760311,532.011720383238,526.6677248252404,-5.343995557997687,-5.343995557997573,True,True,0.8710467171141901,0.10934968631784714,0.5202901908483233,1.0,-0.780229100052973,0.25,0.21612755800034592,1.5158578627678108,0.5661274002567213,1.0,-0.7218534037009968,0.25
1502,156,229.13231921973687,220.4988576866595,4,4,466.26463843947374,448.997715373319,478.46406246847187,461.19713940231713,-17.26692306615473,-17.26692306615473,True,True,0.3182179297482097,0.10000056529063331,0.39189673422992216,1.0,-0.5137341523776882,0.25,0.12210507233411777,1.4840774107934929,0.41210034890789654,1.0,-0.311283341524702,0.25
1503,173,255.73503480805113,252.5448240518506,4,4,519.4700696161023,513.0896481037012,532.0832359940933,525.7028144816924,-6.380421512401085,-6.3804215124009716,True,True,0.5075681893585106,0.14081187797692576,0.1919332159060173,1.0,-0.9312232686674237,0.25,0.11659823900218996,0.9894948791978863,0.19121676128299442,1.0,-0.839049254182961,0.25
1504,102,239.1109223680914,237.8182928691477,4,4,486.2218447361828,483.6365857382954,496.7217359893199,494.1364769914325,-2.5852589978873652,-2.5852589978873652,True,True,0.5078370919126405,0.21771519170375306,0.5836315295518693,1.0,-0.5776178398672934,0.25,0.33143918266521805,1.301767708195596,0.6013427651709714,1.0,-0.5856187880537271,0.25
1505,64,77.8327389628033,75.5845690668958,4,4,163.6654779256066,159.1691381337916,172.30101025904528,167.80467046723027,-4.496339791815018,-4.496339791815018,True,True,0.6813860115793506,0.10000000000018124,0.5519098206958737,1.0,-1.9999993986837603,0.25,0.1789486624208089,1.6620501314216822,0.5814544488718103,1.0,-1.99999999999979,0.25
1509,86,181.93889738329275,180.092683414541,4,4,371.8777947665855,368.185366829082,381.6951839515995,378.002756014096,-3.69242793750351,-3.69242793750351,True,True,0.9325393941613734,0.10000050187566178,0.4353615946118714,1.0,-0.7502844109133736,0.25,0.20620508002566018,1.4732742937416876,0.47521775820518625,1.0,-0.7211581266257343,0.25
1512,120,218.98784083963588,219.1421794149139,4,4,445.97568167927176,446.2843588298278,457.12564865039997,457.434325800956,0.3086771505560364,0.3086771505560364,True,True,0.35487259748511113,0.1588798896803411,0.5957976376922643,1.0,-0.28082328398196443,0.25,0.26966065716299925,1.3139624636715614,0.5984996519870845,1.0,-0.24821771793840158,0.25
1517,75,191.2215997069728,187.08075896759198,4,4,390.4431994139456,382.16151793518395,399.71315186809085,391.4314703893292,-8.28168147876164,-8.28168147876164,True,True,0.9999999999997767,0.34180619450267796,0.3000006072240912,1.0,-1.7089130563181192,0.25,0.38032685726893717,1.5686630541774933,0.3487823055408113,1.0,-1.590395264031815,0.25
1518,74,105.47341063223408,103.87282149590568,4,4,218.94682126446816,215.74564299181137,228.16308163728485,224.96190336462806,-3.20117827265679,-3.20117827265679,True,True,0.9999995662532037,0.10000000000034819,0.31528228622159704,1.0,-1.4878776896976051,0.25,0.1638343176053369,1.4253698324304367,0.33050848001119765,1.0,-1.497009982836891,0.25
1521,112,240.36686390112877,243.87177996400243,4,4,488.73372780225753,495.74355992800486,499.6077232874379,506.61755541318524,7.009832125747323,7.009832125747323,True,True,0.9888853960324163,0.10000056529063331,0.28615729783776184,1.0,-0.6042559176323236,0.25,0.1955139130842445,1.2529547744455627,0.339591521516153,1.0,-0.507443897508278,0.25
1529,136,258.3342334524786,255.62531688556984,4,4,524.6684669049572,519.2506337711397,536.3190864479014,530.9012533140839,-5.417833133817453,-5.417833133817567,True,True,0.5676060976570929,0.10000056529063331,0.5579087657522781,1.0,-0.6710170612488984,0.25,0.13795330936750327,1.2701579091988011,0.6045458945478401,1.0,-0.5741798183198363,0.25
1530,163,212.92101192836077,191.64260473320178,4,4,433.84202385672154,391.28520946640356,446.2170246599486,403.6602102696306,-42.55681439031798,-42.55681439031798,True,True,0.28213495418724627,0.10000000000022326,0.5428056671096794,1.0,-0.6158872029105898,0.25,0.10762557622389982,2.3852139529342633,0.6490325248870235,1.0,-0.15491151054974533,0.25
1532,113,244.796137939414,247.32565515029037,4,4,497.592275878828,502.65131030058075,508.50182715367737,513.5608615754301,5.059034421752756,5.059034421752699,True,True,0.9999993856669438,0.10565767888597695,0.7268352174772249,1.0,-0.6877085682406477,0.25,0.2868909962872688,1.9968743104222466,0.7484040349324165,1.0,-0.7896001116610205,0.25
1535,159,126.49151056610894,121.60068599773763,4,4,260.9830211322179,251.20137199547526,273.2586379410988,263.4769888043562,-9.781649136742658,-9.781649136742601,True,True,0.05948739846829552,0.10000034274052667,0.6663831319225033,1.0,-0.7991800599044767,0.25,0.10000056529063331,3.680757879504776,0.7130112299911777,1.0,-0.0964735258052018,0.25
1536,121,270.34112385191395,265.6547921237373,4,4,548.6822477038279,539.3095842474746,559.8654098862148,550.4927464298615,-9.37266345635328,-9.37266345635328,True,True,0.9999999999999581,0.16868567945444735,0.17869277271204415,1.0,-0.6768974227837853,0.25,0.4313574865912217,2.4509885136458975,0.21766437519296744,1.0,-0.6503333633024238,0.25
1540,99,161.23916635389298,161.32422232132924,4,4,330.47833270778597,330.6484446426585,340.85881210832434,341.02892404319687,0.17011193487252285,0.17011193487252285,True,True,0.40207479016828285,0.14669712688290598,0.38647364969943143,1.0,-1.0797086302427261,0.25,0.10000056529063331,1.060793529474294,0.39007007502413626,1.0,-0.9747332141183688,0.25
1542,109,220.24780980073982,215.3461219439676,4,4,448.49561960147963,438.6922438879352,459.2610111303962,449.45763541685176,-9.803375713544426,-9.803375713544426,True,True,0.8223303134250811,0.1248615934022942,0.4826997483803591,1.0,-0.6756244189283858,0.25,0.2716381393547944,1.8073639678539062,0.5183326068634623,1.0,-0.6335666569025437,0.25
1552,91,145.59631961252984,131.94788984317913,4,4,299.1926392250597,271.89577968635825,309.2360772511271,281.93921771242566,-27.296859538701426,-27.296859538701426,True,True,0.6478268635619946,0.10000000000037247,0.5128802962938575,1.0,-0.8470042253087371,0.25,0.1712218710119876,2.569464499265266,0.775171217132037,1.0,-0.36113206807347215,0.25
1557,124,238.8732462339377,239.18836364402225,4,4,485.7464924678754,486.3767272880445,497.02761873029556,497.65785355046467,0.6302348201691075,0.6302348201691075,True,True,0.6806854589494898,0.14475549020570402,0.38586967662983074,1.0,-0.8913839383705199,0.25,0.18006810874052748,1.1307694221343911,0.3852725103957038,1.0,-0.9143513578083845,0.25
29212,158,247.1133313702282,237.89244208085614,4,4,502.2266627404564,483.7848841617123,514.4770428725643,496.03526429382015,-18.441778578744106,-18.441778578744163,True,True,0.32865105670035194,0.1227574012793752,0.47411067871021056,1.0,-0.6017884358909303,0.25,0.16161852142562416,1.70965185033998,0.5125681871894793,1.0,-0.3630801610955766,0.25
29220,83,158.49719327580075,158.33688703842324,4,4,324.9943865516015,324.6737740768465,334.6697489827879,334.34913650803287,-0.3206124747550234,-0.3206124747550234,True,True,0.4432089459249622,0.1247528580320021,0.5552625259179166,1.0,-0.7063533876732514,0.25,0.16386315415834743,1.3534781837838181,0.5788683847641635,1.0,-0.6193780622226566,0.25
29221,149,252.92453111821035,245.4475683801982,4,4,513.8490622364207,498.8951367603964,525.8648474602026,510.91092198417823,-14.953925476024267,-14.953925476024324,True,True,0.7122390968859854,0.10000056529381834,0.4062148210821629,1.0,-0.7815900552693973,0.25,0.1445218768029813,1.4011252780104657,0.46197185300333904,1.0,-0.6406495037029316,0.25
29227,85,149.5355757154988,148.46054037795477,4,4,307.0711514309976,304.92108075590954,316.8417564569589,314.69168578187083,-2.1500706750880454,-2.1500706750880454,True,True,0.9999993640799231,0.1061214055835882,0.6656300089933601,1.0,-1.1645737482329934,0.25,0.14789722862099555,1.2077383465621754,0.6652467659643666,1.0,-1.2338644532452212,0.25
29230,194,213.19874009288637,195.4159614088673,4,4,434.39748018577274,398.8319228177346,447.468912822026,411.9033554539879,-35.56555736803813,-35.56555736803813,True,True,0.29587382640176185,0.10000029892835959,0.44644898053381693,1.0,-0.6163575941362329,0.25,0.13116411214753318,2.030760863916277,0.4464995051538821,1.0,-0.2987859310499348,0.25
29245,73,91.17650599552567,89.8337107808037,4,4,190.35301199105135,187.6674215616074,199.51484975564492,196.82925932620097,-2.6855904294439483,-2.6855904294439483,True,True,0.26729308496498816,0.10000055427990824,0.5740838660822495,1.0,-1.2400384593092117,0.25,0.10000056529063331,1.5119132308111847,0.6200801991853553,1.0,-1.1108405489630861,0.25
29280,73,132.81578907682734,132.41707139008633,4,4,273.6315781536547,272.83414278017267,282.79341591824823,281.9959805447662,-0.797435373482017,-0.797435373482017,True,True,0.8500835428686951,0.10000000000004874,0.9112793249093474,1.0,-1.0067687407548087,0.25,0.13967091824178554,1.2106991669428329,0.927497103077099,1.0,-0.9828670151956554,0.25
29281,96,140.8813103603879,143.79415029379197,4,4,289.7626207207758,295.58830058758394,300.02001348664714,305.8456933534553,5.825679866808173,5.825679866808173,True,True,0.2061013389290954,0.10000033898838835,0.8631643458458536,1.0,-0.7800537949246108,0.25,0.10000000000019414,1.6513058534892513,0.905264236730237,1.0,-0.5458882218951409,0.25
29303,127,227.78777844170963,224.0004262137291,4,4,463.57555688341927,456.0008524274582,474.9523052292536,467.37760077329256,-7.574704455961069,-7.574704455961069,True,True,0.4103116822379051,0.10000059836234501,0.4580600711877256,1.0,-0.5793497629951047,0.25,0.10000000000029881,1.0191925322300135,0.4627973469893608,1.0,-0.5286724177011657,0.25
29305,115,139.41114969275733,132.76988890127726,4,4,286.82229938551467,273.5397778025545,297.80202789896765,284.5195063160075,-13.282521582960158,-13.282521582960158,True,True,0.23331705642763653,0.10000039385310544,0.7143265593475142,1.0,-0.7714987944091485,0.25,0.10000056529063331,1.9709623432248213,0.7851286229118086,1.0,-0.41852552228999945,0.25
29306,172,199.35862288953763,192.1040058421468,4,4,406.71724577907526,392.2080116842936,419.30722368632905,404.7979895915474,-14.509234094781675,-14.509234094781675,True,True,0.4660479997763503,0.10000044015239898,0.4046999999997523,1.0,-1.157566937258003,0.25,0.10000000000020089,1.5205494059020648,0.40469958788038324,1.0,-0.9159412154443285,0.25
29307,104,119.26448032093653,114.57543066950839,4,4,246.52896064187306,237.15086133901679,257.10652423843857,247.72842493558227,-9.37809930285627,-9.378099302856299,True,True,0.3433475406308539,0.10000000000015626,0.7920377486892632,1.0,-1.1196557135528926,0.25,0.10000000000035537,1.5573549087614935,0.8046496232058066,1.0,-0.939773863116609,0.25
29310,75,177.11490909726305,176.6074177826481,4,4,362.2298181945261,361.2148355652962,371.49977064867136,370.48478801944145,-1.0149826292299053,-1.0149826292299053,True,True,0.48998422868837954,0.19017525040245886,0.4292378228482964,1.0,-0.8633700949098638,0.25,0.20444261354876817,1.1777518193643355,0.45142025774526395,1.0,-0.8729229233638709,0.25
29318,101,202.03501848876795,197.25657945288805,4,4,412.0700369775359,402.5131589057761,422.5305190449009,412.97364097314113,-9.556878071759797,-9.556878071759797,True,True,0.8253404382209335,0.11654443953585959,0.735937425100734,1.0,-0.8781095338701583,0.25,0.24022582594079747,1.8564554750978635,0.816212402529115,1.0,-0.7596781819547652,0.25
29326,132,250.70225756532426,254.1490393460116,4,4,509.4045151306485,516.2980786920232,520.935722820994,527.8292863823687,6.893563561374663,6.893563561374663,True,True,0.1368357030897599,0.2212677455848118,0.5782784004080131,1.0,-0.628179101242486,0.25,0.14221965278766108,1.1309564925484428,0.5951250830234246,1.0,-0.45176290411138353,0.25
29328,115,156.05029565515306,145.87470844715284,4,4,320.10059131030613,299.7494168943057,331.0803198237591,310.72914540775866,-20.351174416000447,-20.351174416000447,True,True,0.5170767584593489,0.10000066652528795,0.6150743987479904,1.0,-1.1574850875241542,0.25,0.16015621055735016,2.0960877160739613,0.6811494690304987,1.0,-0.9295807786388522,0.25
