subj,n_test,nll_actr,nll_fear,n_params_actr,n_params_fear,aic_actr,aic_fear,bic_actr,bic_fear,delta_aic,delta_bic,converged_actr,converged_fear,actr_c,actr_phi,actr_t0,actr_F,actr_tau,actr_s,fear_d,fear_w1,fear_t0,fear_F,fear_tau,fear_s
1501,125,259.5465058218921,257.9142342317373,3,3,525.0930116437842,521.8284684634746,533.577952855691,530.3134096753814,-3.2645431803096017,-3.2645431803096017,True,True,0.9177740902426316,0.14989709658287867,0.3,1.0,-0.9431515899591913,0.25,0.22379109149137416,1.1903774204803448,0.3,1.0,-0.9514949089013431,0.25
1502,156,231.65228865182752,225.25915675534688,3,3,469.30457730365504,456.51831351069376,478.45414532540366,465.6678815324424,-12.786263792961279,-12.786263792961279,True,True,0.38532610088520264,0.10000056529063331,0.3,1.0,-0.5759062703874921,0.25,0.13264708309428308,1.3139501640966613,0.3,1.0,-0.4564245613520298,0.25
1503,173,2000241.5114814488,2000236.4696736846,3,3,4000489.0229628976,4000478.939347369,4000498.482837681,4000488.399222153,-10.083615528419614,-10.083615528419614,True,True,0.2754225770350689,0.20081264659235695,0.3,1.0,-0.9246080429181519,0.25,0.10000056529063331,0.9998846209916029,0.3,1.0,-0.7601283793385487,0.25
1504,102,243.05949008464555,242.45691115056908,3,3,492.1189801692911,490.91382230113817,499.9938986091439,498.788740740991,-1.2051578681529236,-1.2051578681529236,True,True,0.5772494599909153,0.262352648682897,0.3,1.0,-0.755526076271359,0.25,0.35850774777192296,1.1410373136741236,0.3,1.0,-0.8023429851252184,0.25
1505,64,82.20829610500307,82.36378282875044,3,3,170.41659221000614,170.7275656575009,176.89324146008516,177.2042149075799,0.31097344749474587,0.31097344749474587,True,True,0.7716455617113017,0.13558227983410615,0.3,1.0,-1.9999999999996687,0.25,0.14921498875633335,1.1740315469032563,0.3,1.0,-2.0,0.25
1509,86,182.9467829234607,181.72618856656547,3,3,371.8935658469214,369.45237713313094,379.2566077356819,376.81541902189144,-2.4411887137904387,-2.4411887137904387,True,True,0.8985621846662197,0.12827218028090914,0.3,1.0,-0.8498005567624898,0.25,0.20973178180779647,1.2593497265334774,0.3,1.0,-0.8791124717916871,0.25
1512,120,230.14225103168906,231.87636095288042,3,3,466.2845020633781,469.75272190576084,474.6469772917242,478.11519713410695,3.468219842382723,3.468219842382723,True,True,0.3631456522533908,0.2244505620066181,0.3,1.0,-0.4827662348435649,0.25,0.2999210231569562,1.0644393427911532,0.3,1.0,-0.49708617916417186,0.25
1517,75,191.22116337346984,187.12285197053149,3,3,388.44232674693967,380.24570394106297,395.3947910875486,387.1981682816719,-8.1966228058767,-8.1966228058767,True,True,0.9999999999997111,0.34270851729936863,0.3,1.0,-1.7118578748671514,0.25,0.3782897190189905,1.5064430078516786,0.3,1.0,-1.6145614319578587,0.25
1518,74,105.5221251278117,104.08725541676874,3,3,217.0442502556234,214.17451083353748,223.95644553523593,221.08670611315,-2.869739422085928,-2.869739422085928,True,True,0.9999995787430533,0.10000000000027523,0.3,1.0,-1.487969068210768,0.25,0.16048369268518745,1.370910021390609,0.3,1.0,-1.5177081673196802,0.25
1521,112,240.3987344985469,244.20925559051568,3,3,486.7974689970938,494.41851118103136,494.9529656109791,502.57400779491667,7.621042183937561,7.621042183937561,True,True,0.9326355650990223,0.10000053898442837,0.3,1.0,-0.5887093792672954,0.25,0.19807169428717777,1.2095932228920805,0.3,1.0,-0.5458507642649425,0.25
1529,136,264.9513643295554,262.8064131609743,3,3,535.9027286591108,531.6128263219485,544.640693316319,540.3507909791567,-4.289902337162289,-4.289902337162289,True,True,0.8040047619214183,0.11464137482869788,0.3,1.0,-0.8281880208980378,0.25,0.1587575610717405,0.9830764703899356,0.3,1.0,-0.8749170849263925,0.25
1530,163,222.1533024382994,216.0507723104321,3,3,450.3066048765988,438.1015446208642,459.5878554790191,447.3827952232845,-12.205060255734566,-12.205060255734566,True,True,0.4937759023036526,0.10000057233969123,0.3,1.0,-0.7954691531580212,0.25,0.11215630622472894,1.382219933746291,0.3,1.0,-0.6826316959100301,0.25
1532,113,255.89784593291608,258.07175135970505,3,3,517.7956918658322,522.1435027194101,525.9778553219692,530.3256661755471,4.347810853577926,4.347810853577926,True,True,0.9999999999997513,0.18124927358780396,0.3,1.0,-0.9386955281470586,0.25,0.29286972160930214,1.3415412359353769,0.3,1.0,-1.1392025259428504,0.25
1535,159,157.02558548722953,160.51874180545758,3,3,320.05117097445907,327.03748361091516,329.25788358111976,336.24419621757585,6.986312636456091,6.986312636456091,True,True,0.28224408087767044,0.10000000000018064,0.3,1.0,-1.0056376135508474,0.25,0.10000056529063331,1.6588644920412743,0.3,1.0,-0.7807807134847473,0.25
1536,121,1000271.112788393,1000264.6691310529,3,3,2000548.225576786,2000535.3382621058,2000556.6129484228,2000543.7256337425,-12.887314680265263,-12.887314680265263,True,True,0.8241426612446324,0.17151235613777605,0.3,1.0,-0.6129035485141915,0.25,0.4391341471776119,2.6512350932700577,0.3,1.0,-0.5959470349012416,0.25
1540,99,162.56905883717934,162.82243620443282,3,3,331.1381176743587,331.64487240886564,338.92347722476245,339.4302319592694,0.5067547345069556,0.5067547345069556,True,True,0.3957893990453822,0.16815151965866476,0.3,1.0,-1.1511268669649561,0.25,0.10000056529063331,0.9757831774917758,0.3,1.0,-1.0521354598490895,0.25
1542,109,222.94267266359128,220.19257322929698,3,3,451.88534532718256,446.38514645859397,459.95938897387,454.4591901052814,-5.500198868588598,-5.500198868588598,True,True,0.8489770879426941,0.1586912499654107,0.3,1.0,-0.7972025661196472,0.25,0.2791405811358732,1.5193398966045124,0.3,1.0,-0.8189568556265351,0.25
1552,91,148.4312562348855,147.75693728957341,3,3,302.862512469771,301.51387457914683,310.39509098932155,309.0464530986974,-1.3486378906241612,-1.3486378906241612,True,True,0.9999999999996357,0.10000056529093711,0.3,1.0,-0.9289258723762057,0.25,0.1579410386799183,1.3436364550925946,0.3,1.0,-0.9077472331311137,0.25
1557,124,240.62632490102322,240.82440292083967,3,3,487.25264980204645,487.64880584167935,495.71349449886156,496.10965053849446,0.39615603963289914,0.39615603963289914,True,True,0.6957487544202344,0.15912544616818722,0.3,1.0,-0.9492726624554301,0.25,0.18320249361525429,1.0682116850916514,0.3,1.0,-0.9786819727155356,0.25
29212,158,251.82765294386266,246.04357760749352,3,3,509.6553058877253,498.08715521498704,518.8430909868063,507.2749403140679,-11.568150672738284,-11.56815067273834,True,True,0.35719424475180994,0.16077094172113485,0.3,1.0,-0.7566920963303783,0.25,0.17615430990456177,1.3651926392794609,0.3,1.0,-0.6115005507113496,0.25
29220,83,162.08540843984724,162.90760312362625,3,3,330.1708168796945,331.8152062472525,337.4273387030843,339.0717280706423,1.6443893675580057,1.6443893675580057,True,True,0.4108759258528741,0.1880079897063495,0.3,1.0,-0.9037712737647381,0.25,0.1733449669418005,1.0638650818560798,0.3,1.0,-0.8581061069671125,0.25
29221,149,254.49464394348632,249.9502209168613,3,3,514.9892878869726,505.9004418337226,524.001126804809,514.912280751559,-9.088846053250052,-9.088846053249995,True,True,0.8861767633142278,0.10000056687803699,0.3,1.0,-0.8434095723700882,0.25,0.15144966264299273,1.2052995631015673,0.3,1.0,-0.8034668024781625,0.25
29227,85,155.54500044300497,153.60040530235483,3,3,317.09000088600993,313.20081060470966,324.41795465548086,320.5287643741806,-3.889190281300273,-3.889190281300273,True,True,0.9999994215975644,0.16739302640419204,0.3,1.0,-1.41081581149072,0.25,0.13832615491656255,0.887692389308932,0.3,1.0,-1.481253920732698,0.25
29230,194,221.47841681388522,210.70205070726084,3,3,448.95683362777044,427.4041014145217,458.76040810496045,437.2076758917117,-21.55273221324876,-21.55273221324876,True,True,0.412011812200016,0.100000000000129,0.3,1.0,-0.7277865270711104,0.25,0.14008907798565326,1.6724658713509666,0.3,1.0,-0.5065675769288577,0.25
29245,73,96.34842512428794,97.07892675205724,3,3,198.69685024857588,200.15785350411448,205.56822857202107,207.02923182755967,1.4610032555385999,1.4610032555385999,True,True,0.43423499329873455,0.11704883858188006,0.3,1.0,-1.40628659110839,0.25,0.10000056529788441,1.1031281287276562,0.3,1.0,-1.4147757951146986,0.25
29280,73,142.71046253544802,141.6294599478808,3,3,291.42092507089603,289.2589198957616,298.2923033943412,296.1302982192068,-2.162005175134425,-2.162005175134425,True,True,0.9174427449202841,0.20762467301011978,0.3,1.0,-1.4171588829042563,0.25,0.1414243912076558,0.7580449889733618,0.3,1.0,-1.436508925374244,0.25
29281,96,158.85598585320017,160.12658238935134,3,3,323.71197170640033,326.2531647787027,331.40501628080386,333.9462093531062,2.541193072302349,2.541193072302349,True,True,0.2892389054350566,0.20566155299095176,0.3,1.0,-1.2148916762493385,0.25,0.10000056529063331,0.8419927068652469,0.3,1.0,-1.1069712399882803,0.25
29303,127,232.25513529541578,228.5600008119164,3,3,470.51027059083157,463.1200016238328,479.04283185020734,471.6525628832086,-7.390268966998747,-7.390268966998747,True,True,0.5734558592545516,0.10000056529063331,0.3,1.0,-0.6823810208991704,0.25,0.10843554097310708,0.876697585706558,0.3,1.0,-0.709977939619951,0.25
29305,115,155.98925008728858,156.31988631617378,3,3,317.97850017457716,318.63977263234756,326.2132965596669,326.8745690174373,0.6612724577703943,0.6612724577703943,True,True,0.5814390187549017,0.10000039549441153,0.3,1.0,-1.0142258005775073,0.25,0.10000056529063331,1.0793881221749018,0.3,1.0,-0.9556688212225354,0.25
29306,172,204.97832768176508,199.7450510656896,3,3,415.95665536353016,405.4901021313792,425.3991387939705,414.93258556181956,-10.466553232150943,-10.466553232150943,True,True,0.6026132924074205,0.10000057295421795,0.3,1.0,-1.2435693731739,0.25,0.10000056529063331,1.3484170729099056,0.3,1.0,-1.0314338575977855,0.25
29307,104,138.1978330062416,138.2949890059402,3,3,282.3956660124832,282.5899780118804,290.32883870990736,290.52315070930456,0.19431199939720045,0.19431199939720045,True,True,0.6955775641696315,0.13329068717324932,0.3,1.0,-1.4390533625139403,0.25,0.10000056529063331,0.9670328470744862,0.3,1.0,-1.350229139349834,0.25
29310,75,177.80004823002463,177.47790697128863,3,3,361.60009646004926,360.95581394257727,368.55256080065817,367.9082782831862,-0.6442825174719928,-0.6442825174719928,True,True,0.4924093648853524,0.2149754629211078,0.3,1.0,-0.9496802765615275,0.25,0.20853034870926726,1.0598242404226295,0.3,1.0,-0.9980191991120528,0.25
29318,101,208.9315672889969,206.49603201222914,3,3,423.8631345779938,418.9920640244583,431.70849612851754,426.83742557498203,-4.871070553535503,-4.871070553535503,True,True,0.8712224506418685,0.2001591874463802,0.3,1.0,-1.195068436511701,0.25,0.24771647976597194,1.1841544709212284,0.3,1.0,-1.1681222298639193,0.25
29326,132,257.28831209248904,260.99571671829386,3,3,520.5766241849781,527.9914334365877,529.2250299527371,536.6398392043468,7.414809251609654,7.414809251609654,True,True,0.12674436225560684,0.28466085839120814,0.3,1.0,-0.8506762612263672,0.25,0.1664837286351017,0.8882647313939132,0.3,1.0,-0.7508512320373669,0.25
