subj,n_test,nll_actr,nll_fear,n_params_actr,n_params_fear,aic_actr,aic_fear,bic_actr,bic_fear,delta_aic,delta_bic,converged_actr,converged_fear,actr_c,actr_phi,actr_t0,actr_F,actr_tau,actr_s,fear_d,fear_w1,fear_t0,fear_F,fear_tau,fear_s
1501,125,255.17115923572402,252.90121468689358,5,5,520.342318471448,515.8024293737872,534.4838871579595,529.9439980602987,-4.5398890976608754,-4.5398890976608754,True,True,0.9999999999995235,0.17954698593351534,0.5731456384342399,0.7051172261157871,-1.0763192173829819,0.25,0.27814658596488345,0.894076944786788,0.5787230332938207,0.5000000000000323,-1.4387951356726032,0.25
1502,156,224.43893857388687,216.8336523618755,5,5,458.87787714777375,443.667304723751,474.1271571840214,458.91658475999867,-15.210572424022757,-15.210572424022757,True,True,0.5105687072656026,0.14395903640855084,0.41499917534898045,0.638337784889271,-0.8221275512427889,0.25,0.19344755009528547,0.8913193976670795,0.4139599727374274,0.5000005362912132,-1.023870739089802,0.25
1503,173,255.57299881188297,250.19737520321718,5,5,521.1459976237659,510.39475040643435,536.9124555962549,526.1612083789232,-10.751247217331525,-10.751247217331638,True,True,0.5324354712475341,0.1695652962894388,0.19273449444908414,0.893501092621538,-1.0436647073804253,0.25,0.18297851411204763,0.6012417317085662,0.19248432894153295,0.5000045050734273,-1.5505276567827446,0.25
1504,102,238.14654404035176,235.63581660331837,5,5,486.2930880807035,481.27163320663675,499.4179521471249,494.3964972730581,-5.021454874066762,-5.021454874066762,True,True,0.45729935304224956,0.11848004576201923,0.5469995197103861,1.4628713651378022,-0.2526177299298373,0.25,0.280064231563748,1.668308731016456,0.582473749845046,1.4999996354297356,-0.197785957966986,0.25
1505,64,74.9516427541293,75.53946193930467,5,5,159.9032855082586,161.07892387860934,170.69770092505695,171.8733392954077,1.1756383703507538,1.1756383703507538,True,True,0.6669412688539639,0.2378247840759347,0.5809078692473129,0.5683947521084688,-1.9999993522174548,0.25,0.1793225124483774,2.2037318255158627,0.5813024392052317,1.3268399964643125,-1.9999999999997804,0.25
1509,86,181.67680055153656,180.09099491320268,5,5,373.3536011030731,370.18198982640536,385.6253375843406,382.4537263076729,-3.171611276667761,-3.1716112766677043,True,True,0.9031740574498446,0.144770189032987,0.46284736776137564,0.8219501124907579,-0.912140394728242,0.25,0.20132527976819792,1.5648069519557297,0.4738504704008765,1.0773619256045803,-0.6442148724586791,0.25
1512,120,218.49778279889432,218.1317365599588,5,5,446.99556559778864,446.2634731199176,460.9330243116989,460.20093183382784,-0.7320924778710491,-0.7320924778710491,True,True,0.3509453001914004,0.2133870870875232,0.5984996519870881,0.8287502995907238,-0.4391276523421941,0.25,0.23544351345631984,1.6215177725723433,0.5984999999738465,1.3114640632627232,-6.451683012041459e-07,0.25
1517,75,190.68918995365897,185.78332873776804,5,5,391.37837990731794,381.5666574755361,402.9658204749995,393.15409804321763,-9.811722431781845,-9.811722431781845,True,True,0.999999448545909,0.4277430119632733,0.33854037055761843,0.7492753134603722,-1.9989589271754225,0.25,0.43577013620270294,1.3043501498265138,0.42604810720945435,0.6395854774876326,-1.999999999999711,0.25
1518,74,104.8159958716977,103.86941979178067,5,5,219.6319917433954,217.73883958356134,231.15231720941625,229.25916504958218,-1.8931521598340453,-1.8931521598340737,True,True,1.0,0.16081028715439738,0.328183450563204,0.7596912472546768,-1.75510751630976,0.25,0.16611365577428855,1.0061953783406588,0.33053697997407466,0.701854974806466,-1.853037768263104,0.25
1521,112,239.28342712283924,242.85618906999903,5,5,488.5668542456785,495.71237813999807,502.15934860215395,509.30487249647354,7.145523894319581,7.145523894319581,True,True,0.9999995565219594,0.10000000000034323,0.33865229905982885,0.8712166015889511,-0.6064519327276684,0.25,0.15931005746661395,1.768680706721527,0.33773000053751134,1.4999995804024624,-0.09280318214663683,0.25
1529,136,257.43141243927596,255.61595158015686,5,5,524.8628248785519,521.2319031603138,539.4260993072322,535.795177588994,-3.6309217182381417,-3.6309217182382554,True,True,0.7096671520430722,0.10000056529063331,0.6019808820134382,0.8441006771732762,-0.7389026786816648,0.25,0.176114461968197,0.8854093885914225,0.6062219308124976,0.6431288979775637,-1.026406596257398,0.25
