subj,n_test,nll_actr,nll_fear,n_params_actr,n_params_fear,aic_actr,aic_fear,bic_actr,bic_fear,delta_aic,delta_bic,c,phi,d,w1,t0_actr,F_actr,t0_fear,F_fear,converged_actr,converged_fear
1501,125,255.91148638164847,253.5501307978529,4,4,519.822972763297,515.1002615957058,531.1362277125062,526.413516544915,-4.722711167591228,-4.722711167591228,0.90159106422394,0.11772531769629557,0.22421569449228193,1.4253719130472606,0.559758497193228,0.8955874058443263,0.5750465045060199,0.9074143893403206,True,True
1502,156,224.44621848946582,217.84166327071316,4,4,456.89243697893164,443.6833265414263,469.09186100792977,455.88275057042443,-13.20911043750533,-13.20911043750533,0.5106158257024251,0.13821437660987565,0.17515682604729985,1.0330960270804845,0.41498498558126434,0.6495773988368599,0.415973700361856,0.6002313931784892,True,True
1503,173,2000225.8809905048,2000223.3929070125,4,4,4000459.7619810095,4000454.785814025,4000472.3751473874,4000467.398980403,-4.976166984532028,-4.976166984532028,0.3175874736055898,0.1690179194256485,0.1632551564063176,1.0696482332072006,0.5220081900691325,0.7950892198722623,0.5211911790650335,0.6705307331857772,True,True
1504,102,240.36126412691368,239.07351143884233,4,4,488.72252825382736,486.14702287768466,499.22241950696446,496.64691413082176,-2.5755053761427007,-2.5755053761427007,0.5426732399752331,0.27750038916945174,0.3422373990333031,1.1165888641322708,0.5596714823473392,0.8698009019910664,0.5656728562119359,0.9033328769169287,True,True
1505,64,82.47875178920316,76.02611260142962,4,4,172.95750357840632,160.05222520285923,181.593035911845,168.6877575362979,-12.905278375547084,-12.905278375547084,0.9999999999997131,0.015346284347613731,0.1714374505797682,3.2775995498492954,0.5753643227359487,1.1249169409049096,0.582725570491818,1.9999992432505032,True,True
1509,86,181.7683069292926,180.10515196372916,4,4,371.5366138585852,368.2103039274583,381.3540030435992,378.0276931124723,-3.3263099311269,-3.3263099311269,0.9206636527760464,0.11562907494694835,0.21215935233108854,1.3929517607436455,0.45762821284546706,0.9089322993191616,0.4757897766277083,0.929654982706442,True,True
1512,120,220.19403264908172,222.38469900728026,4,4,448.38806529816344,452.7693980145605,459.53803226929165,463.91936498568873,4.3813327163970825,4.3813327163970825,0.3194727181976846,0.33186952100960687,0.3338439268524911,0.8372502199407617,0.6019216310909953,0.5861965670207364,0.6001961033229566,0.6089879746684884,True,True
1517,75,198.29840429602274,189.8625925653934,4,4,404.5968085920455,387.7251851307868,413.86676104619073,396.9951375849321,-16.87162346125865,-16.87162346125865,0.762371472393708,0.1273495894620101,0.3063956118679792,2.495097627673493,0.30000001219607597,1.9999999999997091,0.343166998177599,1.9999990716792626,True,True
1518,74,1000103.9526760551,1000099.0160212975,4,4,2000215.9053521103,2000206.032042595,2000225.1216124832,2000215.248302968,-9.873309515183792,-9.873309515183792,0.7675008026074792,0.013799916410145474,0.22167326832170664,4.073838033599728,0.46919012218430495,1.2011191466410325,0.49287924361122126,1.9644490013731022,True,True
1521,112,242.48590992067537,244.84825429657147,4,4,492.97181984135074,497.69650859314294,503.8458153265311,508.5705040783233,4.7246887517922005,4.7246887517922005,0.9999999999996977,0.13244711744974916,0.21546477918560705,0.9898931478113357,0.3337248386412981,0.781618439754852,0.3348022771709646,0.7851510018207234,True,True
1529,136,257.6058036510534,255.6206070748499,4,4,523.2116073021068,519.2412141496998,534.862226845051,530.891833692644,-3.9703931524070413,-3.9703931524070413,0.7674545383435314,0.10595627977232636,0.15627805694707841,1.0600025924748624,0.6029813831310266,0.8084348340659736,0.605371680637787,0.8019208474625874,True,True
1530,163,193.90782425759957,190.9941723552705,4,4,395.81564851519914,389.988344710541,408.1906493184262,402.3633455137681,-5.827303804658129,-5.827303804658129,0.9540662316052286,0.058192917022163226,0.14036466159113778,1.405354760238941,0.6478375530689594,0.5206967929978968,0.6521787686938813,0.5314215054401422,True,True
1532,113,245.30823311887443,247.24395514286934,4,4,498.61646623774885,502.4879102857387,509.52601751259823,513.397461560588,3.8714440479898258,3.871444047989769,0.9999999999996122,0.12994400546633905,0.2823264926519654,1.9818112215060564,0.7147842957011518,0.9573480880828634,0.735359395825612,1.0437297473806055,True,True
1535,159,106.48818052065515,107.544129071755,4,4,220.9763610413103,223.08825814351,233.25197785019122,235.36387495239092,2.1118971021996913,2.1118971021996913,0.2620080563985232,5.58660574276519e-07,5.128386326560257e-07,1.0684945577185654,0.7295168622570265,0.6094377083293888,0.7193759642435186,0.5000004728128613,True,True
1536,121,3000258.700240186,3000255.7631674143,4,4,6000525.400480372,6000519.526334829,6000536.5836425545,6000530.709497011,-5.874145543202758,-5.874145543202758,0.9999999999996746,0.20215674512948092,0.4844252236943729,2.48450693051136,0.4215175552126762,0.8095957749512109,0.44234745678586346,0.7390706153450969,True,True
1540,99,1000156.7934443852,1000157.1772615124,4,4,2000321.5868887703,2000322.3545230248,2000331.9673681709,2000332.7350024253,0.7676342544145882,0.7676342544145882,0.22057878093325967,0.16078063797574196,0.10181122264846772,1.5461065543213475,0.5897651287327019,0.9170044782643539,0.5019172779507718,1.3645543527991715,True,True
1542,109,218.75484769384497,215.54797308440968,4,4,445.50969538768993,439.09594616881935,456.2750869166065,449.8613376977359,-6.413749218870578,-6.413749218870578,0.8686781020926152,0.16300037485383548,0.28393662571331413,1.609144984354848,0.511496442118673,0.8041058852709649,0.5171880242068504,0.8656972392925518,True,True
1552,91,134.00255788126822,132.2441318536515,4,4,276.00511576253643,272.488263707303,286.04855378860384,282.5317017333704,-3.5168520552334144,-3.5168520552334144,0.9999996012912965,0.07972977137414174,0.18408099517287904,1.7657514385371196,0.7641364557395679,0.5742717436334713,0.773801738760375,0.6654687194526512,True,True
1557,124,1000229.734312924,1000228.2875618048,4,4,2000467.468625848,2000464.5751236095,2000478.7497521103,2000475.856249872,-2.893502238439396,-2.893502238439396,0.6094422198995891,0.12762281265614242,0.17334324814423652,1.2273978870983013,0.5552645478725856,0.9771052104225553,0.6800529580569896,0.8920928163271168,True,True
29212,158,241.0961645717456,233.8561205932555,4,4,490.1923291434912,475.712241186511,502.44270927559904,487.96262131861886,-14.480087956980185,-14.480087956980185,0.40102463056135257,0.17576154639914143,0.21426716033363624,1.274719598376059,0.5207772501987644,0.6744026091457109,0.5267548283984433,0.6136349129297161,True,True
29220,83,157.59670362141674,158.09358302413358,4,4,323.1934072428335,324.18716604826716,332.86876967401986,333.86252847945354,0.9937588054336857,0.9937588054336857,0.43330638393549126,0.1613486383971383,0.17764358337081892,1.159246776538422,0.5816793612057397,0.8260189716967716,0.5830162253085739,0.8217773622665905,True,True
29221,149,248.36745934870046,245.6008579676221,4,4,504.73491869740093,499.2017159352442,516.7507039211828,511.217501159026,-5.533202762156748,-5.533202762156748,0.9999996123920506,0.07342972059651685,0.15340201217738827,1.2353357627816506,0.4601038220712519,0.8575352282297174,0.46080396234839366,0.8665705445389331,True,True
29227,85,149.99435571281646,148.25889696242604,4,4,307.9887114256329,304.51779392485207,317.7593164515942,314.28839895081336,-3.4709175007808426,-3.4709175007808426,0.9999995833193429,0.03274807416217684,0.13591573336410606,1.7808522836685505,0.6516136214963558,1.3499911815610703,0.6625667642283288,1.5332233129701247,True,True
29230,194,199.7589910644768,190.559861715605,4,4,407.5179821289536,389.11972343121,420.58941476520687,402.1911560674633,-18.398258697743586,-18.398258697743586,0.5789072876292277,0.10900332305466828,0.18369868488337343,1.4122304407820578,0.4598797580183888,0.6165542818362543,0.46048783269177773,0.5761585580631085,True,True
29245,73,91.3488712672035,89.81745289747829,4,4,190.697742534407,187.63490579495658,199.85958029900058,196.79674355955015,-3.0628367394504323,-3.0628367394504323,0.5007023222435583,0.0138990710929193,0.08990466312781499,1.9685232970551632,0.617801494380779,1.020435193630679,0.6195920741522996,1.3571016304325534,True,True
29280,73,133.24962279667847,132.44176211360696,4,4,274.49924559335693,272.8835242272139,283.6610833579505,282.04536199180745,-1.6157213661430205,-1.6157213661430205,0.8627464348551634,0.055134667561832544,0.13133526861362638,1.4042240721278578,0.9197646988654501,1.1452972602388514,0.9278115611888066,1.1872312670684784,True,True
