subj,n_test,nll_actr,nll_fear,n_params_actr,n_params_fear,aic_actr,aic_fear,bic_actr,bic_fear,delta_aic,delta_bic,c,phi,d,w1,t0_actr,F_actr,t0_fear,F_fear,converged_actr,converged_fear
1501,125,255.9114959469651,253.5500755686887,4,4,519.8229918939302,515.1001511373775,531.1362468431394,526.4134060865866,-4.722840756552728,-4.722840756552728,0.9020623531693491,0.11778191574132339,0.2240571144096193,1.4250687633484453,0.5599340950793322,0.8952934789933175,0.5742366258110212,0.9088680898127962,True,True
1502,156,224.4462749058435,217.84163159683703,4,4,456.892549811687,443.68326319367407,469.0919738406851,455.8826872226722,-13.209286618012925,-13.209286618012925,0.5094092011861391,0.1383807890143544,0.17493649265633474,1.0326947279345207,0.41498762030347663,0.6498369927166603,0.4159837250443328,0.6003953514672564,True,True
1503,173,256.19384055054616,252.6439185166778,4,4,520.3876811010923,513.2878370333556,533.0008474790834,525.9010034113467,-7.09984406773674,-7.09984406773674,0.5046441007228574,0.10935161292955875,0.11964841569819351,1.0232677509375525,0.19233462336829804,1.0898667125894084,0.1921204634151862,1.012302183858192,True,True
1504,102,240.3612484232555,239.0735068373382,4,4,488.722496846511,486.1470136746764,499.2223880996481,496.64690492781347,-2.5754831718346054,-2.5754831718346054,0.5425512966885095,0.277477566933508,0.3423323331666981,1.1168111765151767,0.5594346881899176,0.8700950021246174,0.565680587373352,0.9032091230125658,True,True
1505,64,82.47865267153716,76.02612130589813,4,4,172.95730534307432,160.05224261179626,181.592837676513,168.68777494523493,-12.905062731278065,-12.905062731278065,0.9999999999997009,0.014739474614840497,0.1712766787973412,3.275759113700068,0.5752857979976614,1.1278993474449206,0.582684573215934,1.9999995215427682,True,True
1509,86,181.76836073317205,180.1051337699506,4,4,371.5367214663441,368.2102675399012,381.3541106513581,378.02765672491523,-3.3264539264428663,-3.3264539264428663,0.9139179862446335,0.1161027155878858,0.21244080705673182,1.3942756167928307,0.4572200750294216,0.9093413696985572,0.4757263214036598,0.9295937219084377,True,True
1512,120,220.20246899655572,222.38646211167918,4,4,448.40493799311145,452.77292422335836,459.55490496423965,463.92289119448657,4.367986230246913,4.367986230246913,0.3188520150915521,0.33153754598690194,0.33359119444549795,0.8371918536088188,0.5984996419508726,0.5900261530548563,0.5984996496553671,0.6102027443160031,True,True
1517,75,198.2984051387447,189.8636361498992,4,4,404.5968102774894,387.7272722997984,413.86676273163465,396.99722475394367,-16.86953797769098,-16.86953797769098,0.7625181382255405,0.12732834569687884,0.30811010516683435,2.5157340388669556,0.3000000000002067,1.9999999127648542,0.34516500544162276,1.9999999990582202,True,True
1518,74,109.22807218030074,103.88173959401206,4,4,226.45614436060148,215.76347918802412,235.67240473341818,224.9797395608408,-10.692665172577364,-10.692665172577364,0.9999999975333973,0.021498595094024738,0.15890258280882616,2.805239017597521,0.324354747148909,1.2761629645308978,0.3304370565785596,1.999839462602212,True,True
1521,112,242.48580998935674,244.8482620356643,4,4,492.9716199787135,497.6965240713286,503.84561546389386,508.570519556509,4.724904092615134,4.724904092615134,0.9999999999997637,0.1326119266319832,0.21545459294029384,0.9899612370354127,0.33342196793740025,0.7816131473306898,0.33458182378541473,0.7853396275562372,True,True
1529,136,257.60588475251734,255.62058815012878,4,4,523.2117695050347,519.2411763002576,534.8623890479789,530.8917958432017,-3.9705932047770602,-3.970593204777174,0.7664417275997348,0.10602581713016523,0.15617787917448644,1.0596131714512158,0.6030696511928348,0.8080004906326624,0.6054443099308225,0.8019313119825853,True,True
1530,163,193.90772311462473,190.99410108302516,4,4,395.81544622924946,389.9882021660503,408.1904470324765,402.3632029692774,-5.827244063199146,-5.827244063199146,0.95623328500415,0.05813435397283189,0.1407460992529092,1.4072187322733778,0.6480376410640463,0.5201250844271387,0.6524103797123368,0.5309010249571652,True,True
1532,113,245.30805189199134,247.2438828126926,4,4,498.6161037839827,502.4877656253852,509.52565505883206,513.3973169002345,3.8716618414024992,3.8716618414024424,0.9999999999996504,0.1300467862089752,0.2819926193997077,1.979687571197608,0.7148965020640243,0.9568243955853274,0.7349236533214093,1.0444730282117398,True,True
1535,159,106.48802006296017,107.45421372651212,4,4,220.97604012592035,222.90842745302425,233.25165693480128,235.18404426190517,1.9323873271038963,1.9323873271038963,0.26077699812896354,6.011739564147343e-07,5.510771013636959e-07,1.0343113886289834,0.7294155825022594,0.610936417859765,0.7108739476710466,0.5000000000000001,True,True
1536,121,269.7031614598221,266.0500779767543,4,4,547.4063229196443,540.1001559535086,558.5894851020312,551.2833181358956,-7.306166966135606,-7.306166966135606,0.9999993772332858,0.2097981726194197,0.4482800957215864,2.259222870461906,0.1974306412155784,0.8392685770678827,0.2162530861825067,0.8861875393642265,True,True
1540,99,162.6504123757855,161.50582874098484,4,4,333.300824751571,331.0116574819697,343.68130415210936,341.39213688250805,-2.2891672696013075,-2.2891672696013075,0.4648120926999215,0.07999097056898057,0.08965169065900282,1.2070788468906468,0.3908638652773733,1.1493830043255133,0.39105797909436263,1.171336606419938,True,True
1542,109,218.75488246132528,215.54795042421958,4,4,445.50976492265056,439.09590084843916,456.2751564515671,449.8612923773557,-6.4138640742114035,-6.4138640742114035,0.866300973923432,0.1632093716126835,0.2841191951864559,1.6097785342304274,0.5113406160469275,0.8042184089733458,0.5170701631689593,0.8656779414633933,True,True
1552,91,134.00256246544777,132.24414930464377,4,4,276.00512493089553,272.48829860928754,286.04856295696294,282.53173663535495,-3.5168263216079936,-3.5168263216079936,0.9999995996908352,0.0796949069741904,0.18420148403560163,1.7675889345873,0.764131042549516,0.5744578780127002,0.7738882308453712,0.665479290836651,True,True
1557,124,238.80999569381595,239.09572013413992,4,4,485.6199913876319,486.19144026827985,496.9011176500521,497.4725665307,0.5714488806479494,0.5714488806479494,0.6627315180006729,0.12152129626260892,0.17120793498973189,1.2316921708411235,0.3842521502325623,1.0985970441892063,0.3845628347581441,1.1211929632043134,True,True
29212,158,241.0961592164967,233.8561331907317,4,4,490.1923184329934,475.7122663814634,502.44269856510124,487.96264651357126,-14.48005205152998,-14.48005205152998,0.401551522956138,0.17554844314951928,0.21418442127174722,1.2751084793044496,0.5208162731826103,0.6744605640428154,0.5266004073880282,0.6139267551842214,True,True
29220,83,157.59670495458832,158.09359053560965,4,4,323.19340990917664,324.1871810712193,332.868772340363,333.8625435024057,0.9937711620426626,0.9937711620426626,0.4332258241537864,0.16139002870577024,0.1780899652992048,1.1606587129441843,0.5816597942672809,0.825964798204317,0.5830349635264934,0.8217340637996995,True,True
29221,149,248.37496155934616,245.60083767218384,4,4,504.7499231186923,499.2016753443677,516.7657083424741,511.21746056814953,-5.548247774324636,-5.5482477743245795,0.9999999872285673,0.07229500285651111,0.153532659493873,1.2358280067596705,0.45795629007439514,0.8677321649554487,0.4607824647468494,0.8664887798211631,True,True
29227,85,149.9943783849128,148.25899224151655,4,4,307.9887567698256,304.5179844830331,317.7593617957869,314.2885895089944,-3.47077228679251,-3.47077228679251,0.9999995820559292,0.03269788044871496,0.13658117263887692,1.7866103968291418,0.6510784187868156,1.3508096792687467,0.6627972951455356,1.532918701329717,True,True
29230,194,200.35219893500934,191.2560817351368,4,4,408.7043978700187,390.5121634702736,421.775830506272,403.5835961065269,-18.192234399745075,-18.192234399745075,0.580497927345569,0.10868043344263013,0.18261026417210022,1.4064681618825943,0.44649999999999995,0.6293252818599757,0.4464995082519144,0.5894607409164017,True,True
29245,73,91.34885906428235,89.81743680382668,4,4,190.6977181285647,187.63487360765336,199.85955589315827,196.79671137224693,-3.062844520911341,-3.062844520911341,0.5014337807815651,0.013826199256089942,0.08967184750742044,1.9652033872524914,0.6175132464190601,1.0209243697403623,0.6196872168488339,1.3556951595879303,True,True
