subj,n_test,nll_actr,nll_fear,n_params_actr,n_params_fear,aic_actr,aic_fear,bic_actr,bic_fear,delta_aic,delta_bic,converged_actr,converged_fear,actr_c,actr_phi,actr_F,actr_tau,actr_s,fear_d,fear_w1,fear_F,fear_tau,fear_s
1501,125,249.93446526716954,252.13152304944654,26,26,551.8689305343391,556.263046098893,625.4050877041989,629.7992032687529,4.394115564553886,4.394115564553999,True,True,0.5,0.1583957065199562,1.0,-0.8,0.25,0.2970924329800729,2.6,1.0,-0.8,0.25
1502,156,229.80002411199658,247.04545741914544,26,26,511.60004822399316,546.0909148382909,590.8963044124812,625.3871710267788,34.49086661429777,34.4908666142976,True,True,0.5,0.10000056529063331,1.0,-0.8,0.25,0.20210673116931133,2.6,1.0,-0.8,0.25
1503,173,229.34192861847401,242.32265547826486,26,26,510.68385723694803,536.6453109565298,592.6694386938902,618.630892413472,25.961453719581755,25.961453719581755,True,True,0.5,0.10000056529063331,1.0,-0.8,0.25,0.17332270523096271,2.6,1.0,-0.8,0.25
1504,102,232.46969159425487,246.8685307694848,18,18,500.93938318850974,529.7370615389696,548.1888938276267,576.9865721780865,28.79767835045982,28.79767835045982,True,True,0.5,0.2680350213430449,1.0,-0.8,0.25,0.44007214178595255,2.6,1.0,-0.8,0.25
1505,64,78.7184672062711,62.79679497160043,26,26,209.4369344125422,177.59358994320087,265.5678945798937,233.72455011055231,-31.843344469341332,-31.84334446934136,True,True,0.5,0.10000055295052454,1.0,-0.8,0.25,0.1844766615808261,2.6,1.0,-0.8,0.25
1509,86,176.20202658201822,178.95571146482058,23,23,398.40405316403644,403.91142292964116,454.8540409778671,460.3614107434718,5.507369765604722,5.507369765604722,True,True,0.5,0.1468676342707463,1.0,-0.8,0.25,0.30082939069463266,2.6,1.0,-0.8,0.25
1512,120,229.49326709163367,262.14623070099844,26,26,510.98653418326734,576.2924614019969,583.4613194956005,648.7672467143301,65.30592721872955,65.30592721872961,True,True,0.5,0.2316061034837748,1.0,-0.8,0.25,0.39727549321215005,2.6,1.0,-0.8,0.25
1517,75,211.94475779552798,199.27311249896073,11,11,445.88951559105595,420.54622499792146,471.3818848399554,446.0385942468209,-25.343290593134498,-25.343290593134498,True,True,0.5,0.2334850300512394,1.0,-0.8,0.25,0.3729079459338849,2.6,1.0,-0.8,0.25
1518,74,96.92647407565053,78.91694070488234,26,26,245.85294815130106,209.83388140976467,305.7586405746095,269.7395738330731,-36.01906674153639,-36.01906674153639,True,True,0.5,0.10000056529063331,1.0,-0.8,0.25,0.1696808378798589,2.6,1.0,-0.8,0.25
1521,112,242.8042056618571,251.8568061220403,26,26,537.6084113237142,555.7136122440807,608.2893819773867,626.394582897753,18.10520092036643,18.105200920366315,True,True,0.5,0.1534138591908504,1.0,-0.8,0.25,0.29905220149959816,2.6,1.0,-0.8,0.25
1529,136,250.28882689291825,263.8606966836374,26,26,552.5776537858364,579.7213933672748,628.3066808149739,655.4504203964121,27.143739581438354,27.14373958143824,True,True,0.5,0.11961230681686069,1.0,-0.8,0.25,0.2572058338011099,2.6,1.0,-0.8,0.25
1530,163,209.16628804480894,200.79801592141055,26,26,470.3325760896179,453.5960318428211,550.7700813105937,534.033537063797,-16.736544246796768,-16.73654424679671,True,True,0.5,0.10000056529063331,1.0,-0.8,0.25,0.13990217359514026,2.6,1.0,-0.8,0.25
1532,113,242.98683115091347,237.92764003209678,21,21,527.973662301827,517.8552800641935,585.2488064947861,575.1304242571528,-10.118382237633455,-10.118382237633341,True,True,0.5,0.2000906961993581,1.0,-0.8,0.25,0.32645861445855806,2.6,1.0,-0.8,0.25
1535,159,161.778380571957,123.68466859741613,26,26,375.556761143914,299.36933719483227,455.34827040164004,379.1608464525583,-76.18742394908173,-76.18742394908173,True,True,0.5,0.10000056529063331,1.0,-0.8,0.25,0.10000056529063331,2.6,1.0,-0.8,0.25
1536,121,272.8269562584321,256.5910207119822,19,19,583.6539125168642,551.1820414239644,636.7739328832023,604.3020617903024,-32.471871092899846,-32.471871092899846,True,True,0.5,0.26579075306594807,1.0,-0.8,0.25,0.4217767567659634,2.6,1.0,-0.8,0.25
1540,99,150.14877740859532,145.7897833663261,26,26,352.29755481719064,343.5795667326522,419.77067092069,411.0526828361516,-8.717988084538433,-8.717988084538433,True,True,0.5,0.10000056529093712,1.0,-0.8,0.25,0.1904701284342836,2.6,1.0,-0.8,0.25
1542,109,215.70676113389516,213.5872866406862,26,26,483.4135222677903,479.1745732813724,553.388567205748,549.1496182193301,-4.238948986417938,-4.238948986417881,True,True,0.5,0.190325233840605,1.0,-0.8,0.25,0.336946569447252,2.6,1.0,-0.8,0.25
1552,91,138.7296097053194,128.4295785265426,26,26,329.4592194106388,308.8591570530852,394.7415665800769,374.1415042225233,-20.60006235755361,-20.60006235755361,True,True,0.5,0.10000056529063331,1.0,-0.8,0.25,0.2096169698912445,2.6,1.0,-0.8,0.25
1557,124,219.89420152841092,229.6352119483811,26,26,491.78840305682183,511.2704238967622,565.1157237625528,584.5977446024932,19.48202083994039,19.482020839940446,True,True,0.5,0.12907243397985724,1.0,-0.8,0.25,0.2672949434462216,2.6,1.0,-0.8,0.25
29212,158,242.27927181775567,254.60994302614944,26,26,536.5585436355113,561.2198860522989,616.1860144942125,640.847356911,24.661342416787534,24.661342416787534,True,True,0.5,0.10246550872617285,1.0,-0.8,0.25,0.23175098747598494,2.6,1.0,-0.8,0.25
